config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline,z_mean_episode_reward,z_success_rate,z_learning_gain,z_final_knowledge,z_adaptation_accuracy,balanced_score,rank_by_reward,rank_by_mastery,rank_balanced
809153d72de6,42,50000,1000,90.1,0.001,64,1024,0.1,0.001,10,3.2664721521878857,0.033,0.2724666880308299,0.49259657612662056,0.4109504891304348,0.003822916935179038,0.6401216535275521,0.5760693101356726,0.1720904183764237,0.5612069310496618,0.4079595021809596,1.570136285433279,False,"{'hint': 0.0, 'scaffold': 0.3431, 'encouragement': 0.2522, 'simplify_problem': 0.1852, 'harder_problem': 0.0649, 'break': 0.1238, 'explanation': 0.0, 'no_action': 0.0308}",[],False,-0.8734170996774935,-0.7719371065320958,-0.8301659791649656,-0.8510183534933063,-0.2911064175879199,-0.7235289912911562,1832,1832,1885
5d1f49a2474d,42,50000,1000,99.4,0.001,32,4096,0.3,0.1,5,3.2332190747775487,0.018,0.2793584105366764,0.5004560687591126,0.4424527272727273,0.003978902172638116,0.6595191422970756,0.5713505901277549,0.17140807070830782,0.39696763611633396,0.42403088370604475,1.4253306058330915,False,"{'hint': 0.0, 'scaffold': 0.4002, 'encouragement': 0.2436, 'simplify_problem': 0.1457, 'harder_problem': 0.0238, 'break': 0.0077, 'explanation': 0.0, 'no_action': 0.179}",[],False,-1.067010483686466,-1.0936706617871517,-0.7407268635884139,-0.702189807004306,-0.02805304627046356,-0.7263301724673601,1932,1932,1886
f82f3137e9c0,42,50000,1000,94.5,0.0003,64,512,0.2,0.01,10,3.4242369351681066,0.009,0.26849508352029294,0.49516011029553525,0.3598,0.003872505535105853,0.45024,0.5866043079236588,0.181206197604438,0.33331999999999995,0.35985999999999996,1.3310130682505659,False,"{'hint': 0.0, 'scaffold': 0.3569, 'encouragement': 0.2596, 'simplify_problem': 0.0182, 'harder_problem': 0.003, 'break': 0.0555, 'explanation': 0.0, 'no_action': 0.3068}",[],False,0.04506084561751343,-1.2867107949401853,-0.8817085063838032,-0.80247488102319,-0.7182287239307736,-0.7288124121320877,1246,1246,1887
c715e1274163,42,50000,1000,97.5,0.0001,32,2048,0.1,0.05,5,3.3173626813765607,0.033,0.26528837647106207,0.4884655166948421,0.39210161779575325,0.003740334216831733,0.634451847850011,0.5746252754009035,0.16817472005826023,0.5869900154070873,0.3928006883166257,1.5301224162830644,False,"{'hint': 0.0, 'scaffold': 0.3508, 'encouragement': 0.25, 'simplify_problem': 0.1678, 'harder_problem': 0.0413, 'break': 0.1691, 'explanation': 0.0008, 'no_action': 0.0202}",[],False,-0.5771416711488728,-0.7719371065320958,-0.9233243784902315,-0.9292447224766581,-0.4485002868019415,-0.7300296330899599,1666,1666,1888
7f383764d91e,42,50000,1000,71.8,0.0001,128,2048,0.2,0.1,10,3.2297744251301634,0.027,0.2884492055761734,0.5063633202817505,0.3909539770812268,0.004098619044352334,0.6613306653326664,0.5712768101651629,0.17797954096131297,0.4177488744372186,0.44390195097548774,1.6283856770699083,False,"{'hint': 0.0, 'scaffold': 0.3245, 'encouragement': 0.2185, 'simplify_problem': 0.1993, 'harder_problem': 0.0664, 'break': 0.0, 'explanation': 0.053, 'no_action': 0.1383}",[],False,-1.0870646090154896,-0.9006305286341183,-0.6227487140720123,-0.5903291947525001,-0.4580834395180674,-0.7317712971984376,1948,1948,1889
787d929bd31c,42,50000,1000,67.9,0.0005,128,512,0.2,0.1,10,3.160985185428677,0.047,0.2993746543812354,0.5106660723260397,0.3586465571733005,0.004187482255131894,0.6778463017099836,0.5691547465685984,0.1735252295552172,0.5028833446798286,0.4449161026791078,1.7202859275168372,False,"{'hint': 0.0001, 'scaffold': 0.2471, 'encouragement': 0.207, 'simplify_problem': 0.2743, 'harder_problem': 0.1114, 'break': 0.0216, 'explanation': 0.0864, 'no_action': 0.0521}",[],False,-1.4875430830190832,-0.4716524549607103,-0.4809608696582717,-0.5088516283754084,-0.7278603260669373,-0.7353736724160822,2099,2099,1890
9ffd1489d4d0,42,50000,1000,66.0,0.0005,128,1024,0.1,0.001,10,3.43394344073507,0.028,0.2542448476067886,0.4813402139629371,0.35282335697399525,0.003596683077746329,0.5539886381821091,0.5900681661200008,0.1826052799314296,0.3795007201152184,0.353516562650024,1.480452960614668,False,"{'hint': 0.0, 'scaffold': 0.3382, 'encouragement': 0.2444, 'simplify_problem': 0.0983, 'harder_problem': 0.0146, 'break': 0.0368, 'explanation': 0.0007, 'no_action': 0.2669}",[],False,0.1015703601031182,-0.8791816249504478,-1.0666446374859782,-1.0641705374713193,-0.7764858376056631,-0.736982455482058,1207,1207,1891
0dd4a56a9e25,42,50000,1000,152.4,0.0003,32,4096,0.3,0.1,10,3.2483231411900095,0.052,0.27286586391206574,0.49134301658981333,0.3676034012667481,0.0038006484261342522,0.6292625297851465,0.573030409586693,0.16994962534844674,0.5838889890070283,0.36571153961674774,1.7176384427154634,False,"{'hint': 0.0191, 'scaffold': 0.2842, 'encouragement': 0.2089, 'simplify_problem': 0.1966, 'harder_problem': 0.077, 'break': 0.1784, 'explanation': 0.0045, 'no_action': 0.0313}",[],False,-0.9790773491677464,-0.36440793654235837,-0.82498557067537,-0.8747559473208213,-0.6530679248253543,-0.73925894570633,1890,1890,1892
9997e5a8a619,42,50000,1000,160.2,0.0005,32,1024,0.1,0.1,10,3.091372003182583,0.036,0.2963075004475636,0.5108760156127472,0.437023538647343,0.004187744945338066,0.6833703414751245,0.566590924807446,0.17547922216050932,0.5493608593890656,0.4418772129868571,1.5336907531889976,False,"{'hint': 0.0, 'scaffold': 0.3473, 'encouragement': 0.1479, 'simplify_problem': 0.2714, 'harder_problem': 0.0945, 'break': 0.13, 'explanation': 0.0, 'no_action': 0.0088}",[],False,-1.8928184010401867,-0.7075903954810847,-0.5207656550268102,-0.5048761104041041,-0.0733884400597821,-0.7398878004023934,2193,2193,1893
c0a665e41c87,42,50000,1000,63.7,0.001,64,1024,0.2,0.05,5,3.2240149279919095,0.042,0.2983561088667466,0.5117208855694999,0.32375425239140465,0.004208603020088448,0.640623122822474,0.5690146204406767,0.173322899924651,0.6104681430459333,0.38937167113852067,1.7107810214767163,False,"{'hint': 0.0002, 'scaffold': 0.1605, 'encouragement': 0.2295, 'simplify_problem': 0.2647, 'harder_problem': 0.1617, 'break': 0.1163, 'explanation': 0.0671, 'no_action': 0.0}",[],False,-1.1205953564836315,-0.5788969733790622,-0.4941793081419827,-0.488877524551895,-1.019221795828399,-0.740354191676994,1961,1961,1894
