probe_id,action,Q_hat,V_s,A_hat,prob,logit,ppo_action,dqn_action,harder_available
31,no_action,0.8443325769680936,4.44920015335083,-3.6048675763827367,0.07874444127082825,-2.5415477752685547,encouragement,scaffold,1
32,hint,1.0741151214472813,4.510049819946289,-3.4359346984990076,0.04046184942126274,-3.2073957920074463,encouragement,scaffold,1
32,scaffold,1.0919752742912785,4.510049819946289,-3.418074545655011,0.068092942237854,-2.6868817806243896,encouragement,scaffold,1
32,encouragement,0.8873285171709089,4.510049819946289,-3.62272130277538,0.3841194808483124,-0.9568015933036804,encouragement,scaffold,1
32,simplify_problem,1.1351967787441128,4.510049819946289,-3.374853041202176,0.0664379894733429,-2.711486339569092,encouragement,scaffold,1
32,harder_problem,0.9342059330794545,4.510049819946289,-3.5758438868668345,0.02870122343301773,-3.5508155822753906,encouragement,scaffold,1
32,break,1.0425483460656568,4.510049819946289,-3.467501473880632,0.1856403946876526,-1.683943748474121,encouragement,scaffold,1
32,no_action,1.0194726126489668,4.510049819946289,-3.4905772072973225,0.22654615342617035,-1.4848065376281738,encouragement,scaffold,1
33,hint,0.8064095627081752,4.552539825439453,-3.746130262731278,0.042276531457901,-3.1635231971740723,no_action,scaffold,1
33,scaffold,0.8844122717155924,4.552539825439453,-3.6681275537238607,0.09064234793186188,-2.40083384513855,no_action,scaffold,1
33,simplify_problem,1.0829247684304621,4.552539825439453,-3.469615057008991,0.049308549612760544,-3.009657859802246,no_action,scaffold,1
33,harder_problem,0.9558611676027112,4.552539825439453,-3.596678657836742,0.11690005660057068,-2.1464359760284424,no_action,scaffold,1
33,break,0.9273321843383371,4.552539825439453,-3.625207641101116,0.24466314911842346,-1.4078729152679443,no_action,scaffold,1
33,no_action,0.8829140926867999,4.552539825439453,-3.669625732752653,0.4562094211578369,-0.7848033308982849,no_action,scaffold,1
34,hint,0.6667062463925126,4.168251037597656,-3.5015447912051436,0.08346566557884216,-2.4833199977874756,scaffold,scaffold,1
34,scaffold,0.8125041638634221,4.168251037597656,-3.355746873734234,0.27592557668685913,-1.2876241207122803,scaffold,scaffold,1
34,simplify_problem,0.9353914950815316,4.168251037597656,-3.232859542516125,0.18251584470272064,-1.7009183168411255,scaffold,scaffold,1
34,harder_problem,0.8651670237389976,4.168251037597656,-3.303084013858659,0.05430566892027855,-2.9131267070770264,scaffold,scaffold,1
34,break,0.8317277433030208,4.168251037597656,-3.3365232942946355,0.1787290871143341,-1.7218841314315796,scaffold,scaffold,1
34,explanation,0.8287930249582321,4.168251037597656,-3.339458012639424,0.12195480614900589,-2.10410475730896,scaffold,scaffold,1
34,no_action,0.6844478851000249,4.168251037597656,-3.4838031524976314,0.1031033918261528,-2.2720229625701904,scaffold,scaffold,1
35,scaffold,0.849499176212396,4.417369842529297,-3.567870666316901,0.18634113669395447,-1.6801762580871582,break,scaffold,1
35,simplify_problem,0.9018049002188215,4.417369842529297,-3.5155649423104753,0.12304990738630295,-2.095165252685547,break,scaffold,1
35,harder_problem,0.8329859388902212,4.417369842529297,-3.5843839036390754,0.05081665888428688,-2.9795310497283936,break,scaffold,1
35,break,0.7363581548235354,4.417369842529297,-3.6810116877057615,0.2618468105792999,-1.3399956226348877,break,scaffold,1
35,explanation,0.8589869335463624,4.417369842529297,-3.5583829089829346,0.12244989722967148,-2.100053310394287,break,scaffold,1
35,no_action,0.8993968570095754,4.417369842529297,-3.5179729855197213,0.2554956078529358,-1.3645501136779785,break,scaffold,1
36,hint,0.8601337219025837,4.091010093688965,-3.230876371786381,0.020803332328796387,-3.8726420402526855,no_action,scaffold,1
36,scaffold,0.820377503233374,4.091010093688965,-3.270632590455591,0.062106478959321976,-2.778904914855957,no_action,scaffold,1
36,encouragement,0.8350255871393173,4.091010093688965,-3.2559845065496473,0.309802383184433,-1.1718206405639648,no_action,scaffold,1
36,simplify_problem,0.9473758795433462,4.091010093688965,-3.1436342141456186,0.020194178447127342,-3.9023609161376953,no_action,scaffold,1
36,harder_problem,0.9908383231864573,4.091010093688965,-3.1001717705025076,0.06791366636753082,-2.6895179748535156,no_action,scaffold,1
36,break,0.8510444780929225,4.091010093688965,-3.2399656155960423,0.1737629622220993,-1.750063180923462,no_action,scaffold,1
36,no_action,0.7739546569387381,4.091010093688965,-3.317055436750227,0.34541693329811096,-1.0630030632019043,no_action,scaffold,1
