config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
edf9d55ba521,42,50000,1000,31.1,0.0003,32,50000,500,0.1,0.05,3.2906654334917795,0.045,0.338300595271541,0.5438537038390402,0.43357188405797104,0.004847734771712034,0.3921097907414076,0.5802153714837216,0.20453395604840108,0.5301284359620694,0.44174368823270516,1.1608066440314495,False,"{'hint': 0.0082, 'scaffold': 0.4127, 'encouragement': 0.0869, 'simplify_problem': 0.0001, 'harder_problem': 0.0208, 'break': 0.0002, 'explanation': 0.028, 'no_action': 0.4431}",[],False
e51b7dd58753,42,50000,1000,30.8,0.0003,32,50000,500,0.1,0.1,3.6184771848673716,0.146,0.4638913099196334,0.6260297980753732,0.49899872837752357,0.006509166423315627,0.3990612212147958,0.5749147003571394,0.19356426955149877,0.2601099253791222,0.5277220572895771,1.2818017070758838,False,"{'hint': 0.0286, 'scaffold': 0.4573, 'encouragement': 0.26, 'simplify_problem': 0.0016, 'harder_problem': 0.0417, 'break': 0.0, 'explanation': 0.2106, 'no_action': 0.0001}",[],False
01c9bc0a2ba9,42,50000,1000,31.2,0.0003,32,50000,500,0.2,0.01,2.2230617485504007,0.171,0.43622428173984007,0.6029205095637072,0.3335227614289901,0.006063366113214996,0.20766104695610188,0.5518838824308142,0.22684792182670552,0.28909990745584035,0.7107592644751137,1.2690101037287576,False,"{'hint': 0.3708, 'scaffold': 0.0074, 'encouragement': 0.0535, 'simplify_problem': 0.0, 'harder_problem': 0.3325, 'break': 0.2356, 'explanation': 0.0001, 'no_action': 0.0}",[],False
ae4deeebd49b,42,50000,1000,30.7,0.0003,32,50000,500,0.2,0.1,2.8447765633172866,0.402,0.6152749187571233,0.7303763906206904,0.5896244186515217,0.00870532168974966,0.2524055052576022,0.5596795568958814,0.2514027081012063,0.0868417847428038,0.6237667979375584,1.4350383594821274,False,"{'hint': 0.0366, 'scaffold': 0.2101, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.3771, 'break': 0.0664, 'explanation': 0.2894, 'no_action': 0.0205}",[],False
665a7b5f1147,42,50000,1000,30.9,0.0003,32,50000,500,0.2,0.05,2.3940453357893308,0.475,0.6559005998411126,0.7599263282174927,0.6099564638561861,0.00935454664457063,0.2524590833027223,0.5785245239113437,0.26027174376781287,0.09983265989143299,0.8902289702461124,0.819544961669412,True,"{'hint': 0.0, 'scaffold': 0.1429, 'encouragement': 0.0866, 'simplify_problem': 0.0099, 'harder_problem': 0.7473, 'break': 0.0051, 'explanation': 0.0, 'no_action': 0.0082}",['harder_problem'],False
0e8722564150,42,50000,1000,30.7,0.0003,32,50000,500,0.3,0.05,3.0129950410638084,0.027,0.3028522872134209,0.5174836241553326,0.039524754856614254,0.004319580553579301,0.5051707239013462,0.5482401525997065,0.19695741954450735,0.254015562178705,0.3520092812993819,1.6317134781282254,False,"{'hint': 0.3032, 'scaffold': 0.0466, 'encouragement': 0.1162, 'simplify_problem': 0.0542, 'harder_problem': 0.0022, 'break': 0.1126, 'explanation': 0.3398, 'no_action': 0.0252}",[],False
534e7873a867,42,50000,1000,30.8,0.0003,32,50000,500,0.3,0.01,2.851174383710585,0.254,0.5077307841905864,0.6546502341073824,0.3311452823424337,0.0071214157621687976,0.2712110517293536,0.5473285293016685,0.22949653576139933,0.17583946758092164,0.5071090047393365,1.5666883622312204,False,"{'hint': 0.1775, 'scaffold': 0.1342, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.1954, 'break': 0.1757, 'explanation': 0.3171, 'no_action': 0.0002}",[],False
9056e168691b,42,50000,1000,29.7,0.0003,32,50000,500,0.5,0.01,3.3591689208691933,0.136,0.4624772600542508,0.6265169556121698,0.4604559022629035,0.006515017883643941,0.4518864520267832,0.5535229031611315,0.21572554049489615,0.010625075177418708,0.7687342127420713,1.158442906671859,False,"{'hint': 0.3066, 'scaffold': 0.4516, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.0105, 'break': 0.0048, 'explanation': 0.2206, 'no_action': 0.0058}",[],False
00064f5bf965,42,50000,1000,30.1,0.0003,32,50000,500,0.3,0.1,3.002585576130361,0.463,0.6576962590081443,0.7613230596919928,0.9681012020376412,0.009424207308185417,0.25809625317701074,0.5757295923892236,0.23900225780690448,0.03248749692547347,0.9675125030745265,0.8151189917308512,False,"{'hint': 0.0, 'scaffold': 0.4788, 'encouragement': 0.0323, 'simplify_problem': 0.0, 'harder_problem': 0.4887, 'break': 0.0001, 'explanation': 0.0, 'no_action': 0.0001}",[],False
f980779e84f7,42,50000,1000,29.9,0.0003,32,50000,500,0.5,0.05,3.0900458148093284,0.066,0.3816193412235043,0.5709125210705438,0.5409003113498331,0.005394350632402852,0.6634559545026734,0.5619094715128766,0.18647251333963746,0.08296453531449627,0.5378376754710935,1.4427181205574309,False,"{'hint': 0.0, 'scaffold': 0.3534, 'encouragement': 0.0781, 'simplify_problem': 0.3162, 'harder_problem': 0.1844, 'break': 0.0, 'explanation': 0.063, 'no_action': 0.0049}",[],False
072634b9a7b2,42,50000,1000,29.7,0.0003,32,50000,500,0.5,0.1,3.213720160009642,0.305,0.5639938146585134,0.6952245548686444,0.6308725639664329,0.007938893352054884,0.2572494454527122,0.5791212792273769,0.22402924894327952,0.2482758620689655,0.6309941520467837,1.350030001773801,False,"{'hint': 0.0006, 'scaffold': 0.3304, 'encouragement': 0.2453, 'simplify_problem': 0.0002, 'harder_problem': 0.3, 'break': 0.0, 'explanation': 0.1205, 'no_action': 0.003}",[],False
e9614529aa94,42,50000,1000,30.9,0.0003,32,50000,1000,0.1,0.1,3.591237339751529,0.216,0.49658308660644923,0.6481365580872211,0.6013590365797888,0.006964628954446379,0.36102961861511873,0.5770065680580707,0.19814043358082783,0.23897841900092434,0.6402563999517743,1.328684610279858,False,"{'hint': 0.0397, 'scaffold': 0.4976, 'encouragement': 0.2348, 'simplify_problem': 0.0, 'harder_problem': 0.1029, 'break': 0.004, 'explanation': 0.1208, 'no_action': 0.0002}",[],False
53f7a524f02e,42,50000,1000,30.9,0.0003,32,50000,1000,0.2,0.01,2.8145907012584637,0.514,0.6751888214795118,0.7740767228083624,0.9969423001990754,0.009733699080645966,0.2538364883514944,0.5741020267662065,0.24984931641717356,0.0013801058767792037,0.9970749994850351,0.6854406552819393,False,"{'hint': 0.006, 'scaffold': 0.3233, 'encouragement': 0.001, 'simplify_problem': 0.0015, 'harder_problem': 0.6677, 'break': 0.0003, 'explanation': 0.0, 'no_action': 0.0001}",[],False
